Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Latitude,Longitude
1006216,110043972804,Highway 59 Landfill,Merced,CA,95348,7040 North Hwy 59,MERCED COUNTY,562212,HH,Waste,20565.5,,20565.5,34.60,-117.36
1000066,110002146080,"INGOMAR PACKING COMPANY, LLC",LOS BANOS,CA,93635,9950 SOUTH INGOMAR GRADE,MERCED COUNTY,311421,C,Other,82511.84,82426.9,38.75,37.39,-120.50
1004718,110061089165,"Imerys Filtration Minerals, Inc.",LOMPOC,CA,93436,2500 MIGUELITO ROAD,SANTA BARBARA COUNTY,212399,C,Other,37200.16,37161.8,17.5,37.07,-120.88
1000128,110070469332,Indigo Generation Facility,NORTH PALM SPRINGS,CA,92258,63500 19TH AVE,RIVERSIDE COUNTY,221112,D,Power Plants,18839.78,18820.6,8.75,34.65,-120.46
1009951,110000479429,Infineon Technologies Americas Corp,Temecula,CA,92590,41915 Business Park Dr,RIVERSIDE COUNTY,334413,"C,I",Other,20503.76818,4100,2,33.91,-116.55
1011082,110069631161,Ivanpah Solar Electric Generating Facility,Nipton,CA,92364,100302 Yates Well Road,SAN BERNARDINO COUNTY,221112,"C,D",Power Plants,74613.772,74537.6,34.75,33.50,-117.16
1003636,110000481979,J R SIMPLOT COMPANY,HELM,CA,93627,12688 S. COLORADO AVE.,FRESNO COUNTY,325311,"C,U,V",Chemicals,17844.058,16972.8,8.25,35.56,-115.60
1004956,110043785491,J.G. Boswell Tomato Company Kern LLC,BUTTONWILLOW,CA,93206,36889 HWY 58,KERN COUNTY,311421,C,Other,37170.66,37132.3,17.5,36.55,-120.11
1004832,110039204884,J.G. Boswell Tomato Company Kings LLC,CORCORAN,CA,93212,27905 DAIRY AVE,KINGS COUNTY,311421,C,Other,28833.492,28803.9,13.5,35.40,-119.41
1007128,110012694307,JOHNSON CANYON SANITARY LANDFILL,GONZALES,CA,93926,31400 JOHNSON CANYON ROAD,MONTEREY COUNTY,562212,HH,Waste,82292.5,,82292.5,36.07,-119.57
1004753,110001199792,KELCO,SAN DIEGO,CA,92113,2025 HARBOR DR E,SAN DIEGO COUNTY,311999,C,Other,104923.804,104815.3,49.5,36.52,-121.43
1004011,110001163053,KELLER CANYON LANDFILL,PITTSBURG,CA,94565,901 BAILEY ROAD,CONTRA COSTA COUNTY,562212,HH,Waste,125026,,125026,32.70,-117.15
1002543,110000525824,KERN FRONT LIMITED,BAKERSFIELD,CA,93308,12241 OILFIELD ROAD,KERN COUNTY,221112,C,Power Plants,8676.968,8668.2,4,38.01,-121.94
1004267,110000481611,KERN OIL & REFINING CO.,BAKERSFIELD,CA,93307,7724 E PANAMA LN,KERN COUNTY,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",138543.21,137780.7,391.5,35.50,-119.04
1004037,110065766424,KIEFER LANDFILL,SLOUGHHOUSE,CA,95683,12701 KIEFER BLVD,SACRAMENTO COUNTY,562212,"C,HH",Waste,154436.942,,154286.75,35.30,-118.92
1004001,110006825908,Kern River Cogeneration Facility,BAKERSFIELD,CA,93308,1546 SW China Grade Loop,KERN COUNTY,221112,"C,DD","Other,Power Plants",135270.292,135131.1,63.5,38.52,-121.20
1011716,110014018785,Kings Waste and Recycling Authority,Hanford,CA,93230,7803 Hanford-Armona Road,KINGS COUNTY,562212,HH,Waste,3036,,3036,35.45,-118.99
1007817,110071159471,Kirby Canyon Recycling & Disposal Facility,Morgan Hill,CA,95037,910 Coyote Creek Golf Drive,SANTA CLARA COUNTY,562212,HH,Waste,89819.25,,89819.25,36.31,-119.60
1002591,110013955586,L A CO CENTRAL HEATING PLANT,LOS ANGELES,CA,90012,301 N. BROADWAY,LOS ANGELES COUNTY,221330,C,Power Plants,28656.84,28626.7,13.75,37.22,-121.58
1002134,110032643842,LAMB CANYON SANITARY LANDFILL,BEAUMONT,CA,92223,16411 LAMB CANYON RD,RIVERSIDE COUNTY,562212,HH,Waste,126010,,126010,34.06,-118.24
1007841,110002646977,LANCASTER LANDFILL,LANCASTER,CA,93535,600 E AVENUE F,LOS ANGELES COUNTY,562212,"C,HH",Waste,21722.8,15.3,21707.5,33.88,-116.99
1002874,110000495713,LAND O\LAKES INCORPORATED,TULARE,CA,93274,400 SOUTH M STREET,TULARE COUNTY,311514,C,Other,62102.816,62038.7,29.25,34.75,-118.12
1002224,110017972942,LAS PULGAS LANDFILL,CAMP PENDLETON (MIL RES),CA,92055,1 MI N CAMP PULGAS OFF BASILONE RD,SAN DIEGO COUNTY,928110,HH,Waste,24226.75,,24226.75,36.20,-119.34
1004612,110070385909,LEHIGH CEMENT WEST LLC,REDDING,CA,96003,15390 WONDERLAND BOULEVARD,SHASTA COUNTY,327310,"C,H",Minerals,336590.284,335335.9,469.75,33.02,-116.84
1002566,110000481915,"LEHIGH CEMENT WEST, LLC.",TEHACHAPI,CA,93561,13573 TEHACHAPI BLVD.,KERN COUNTY,327310,"C,H",Minerals,691618.826,687995.7,1392,40.74,-122.32
1002601,110002673900,LHOIST NORTH AMERICA -  NATIVIDAD PLANT,SALINAS,CA,93902,11771 OLD STAGE ROAD,MONTEREY COUNTY,327410,"C,S",Minerals,63037.628,63017.9,9,35.12,-118.37
